skills,job_role
python pandas numpy machine-learning,Data Scientist
python django sql backend,Backend Developer
html css javascript react,Frontend Developer
aws docker kubernetes devops,DevOps Engineer
python tensorflow deep-learning ai,AI Engineer
sql powerbi data-analysis excel,Data Analyst
java spring backend microservices,Backend Developer
react javascript frontend ui,Frontend Developer
python pandas data-visualization,Data Scientist
aws cloud terraform devops,DevOps Engineer
c cpp data-structures algorithms,Software Engineer
javascript nodejs express backend,Backend Developer
html css bootstrap frontend,Frontend Developer
python flask restapi backend,Backend Developer
excel sql tableau data-analysis,Data Analyst
python scikit-learn pandas numpy,Machine Learning Engineer
python nlp transformers deep-learning,NLP Engineer
python computer-vision opencv deep-learning,Computer Vision Engineer
java springboot restapi backend,Backend Developer
nodejs mongodb express backend,Backend Developer
react redux javascript frontend,Frontend Developer
html css tailwind frontend,Frontend Developer
angular typescript frontend ui,Frontend Developer
vue javascript frontend ui,Frontend Developer
aws lambda serverless cloud,Cloud Engineer
azure cloud devops pipelines,DevOps Engineer
gcp cloud kubernetes docker,Cloud Engineer
python pytorch deep-learning ai,AI Engineer
python keras tensorflow ai,AI Engineer
sql python pandas analytics,Data Analyst
tableau powerbi dashboards analytics,Business Analyst
excel vba data-analysis reporting,Data Analyst
python spark big-data hadoop,Data Engineer
scala spark big-data pipelines,Data Engineer
python airflow etl pipelines,Data Engineer
mysql postgresql database sql,Database Administrator
oracle sql database management,Database Administrator
c embedded systems microcontrollers,Embedded Engineer
c++ oop software-design,Software Engineer
python automation scripting,Automation Engineer
selenium python testing,QA Engineer
java selenium testing automation,QA Engineer
linux bash scripting devops,DevOps Engineer
git github ci-cd pipelines,DevOps Engineer
react nextjs frontend web,Frontend Developer
javascript typescript frontend web,Frontend Developer
nodejs graphql backend api,Backend Developer
python fastapi backend api,Backend Developer
